Curso;Módulo atual;Faltas Consecutivas;Idade;Sexo;Bairro;Cidade;Pend. Acad.;Possui Pendência Financeira;Bolsista;Antecipou Parcela;Situação (código)
Curso Técnico em Administração;0;13;23;0;Centro-Zona Rural;Tremedal;0;1;0;0;8
Curso Técnico em Administração;0;0;25;1;Alto Maron;Vitória da Conquista;0;0;0;0;5
Curso Técnico em Administração;0;0;46;0;Zabelê-Senhorinha Cairo;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;3;0;25;1;Espírito Santo;Vitória da Conquista;0;1;0;0;7
Curso Técnico em Administração;0;0;24;1;Centro;Caraíbas;0;0;0;0;3
Curso Técnico em Administração;0;0;21;1;Bateias;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;2;1;27;0;Morada Nova;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;4;35;1;Boa Vista;Vitória da Conquista;0;1;0;0;10
Curso Técnico em Administração;0;0;25;1;Brasil;Vitória da Conquista;0;0;0;0;5
Curso Técnico em Administração;0;4;33;1;Miro Cairo;Vitória da Conquista;0;1;0;0;10
Curso Técnico em Administração;0;0;34;1;Ibirapuera;Vitória da Conquista;0;0;0;0;9
Curso Técnico em Administração;0;13;23;1;Espírito Santo-Urbis VI;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;21;0;Guarani;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;29;0;Boa Vista;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;13;30;0;Zabelê-Loteamento Sobradinho;Vitória da Conquista;0;1;0;0;8
Curso Técnico em Administração;0;13;23;1;Campinhos-Morada Nova;Vitória da Conquista;0;1;0;0;8
Curso Técnico em Administração;0;17;26;0;Henriqueta Prates;Vitória da Conquista;0;1;0;0;8
Curso Técnico em Administração;0;0;26;0;Felícia-Morada dos Passáros;Vitória da Conquista;0;0;0;0;5
Curso Técnico em Administração;0;0;37;1;Jatobá-Jardim Valeria;Vitória da Conquista;0;1;0;0;7
Curso Técnico em Administração;0;0;21;1;São Pedro-Henriqueta Prates;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;3;11;22;1;Patagônia;Vitória da Conquista;0;1;0;0;8
Curso Técnico em Administração;0;12;23;1;Zona Rural;Vitória da Conquista;0;0;0;0;8
Curso Técnico em Administração;0;0;22;0;Patagônia;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;3;0;28;0;Espirito Santo;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;14;21;0;Ibirapuera;Vitória da Conquista;0;1;0;0;8
Curso Técnico em Administração;0;4;20;0;Nova Cidade;Vitória da Conquista;0;1;0;0;10
Curso Técnico em Administração;0;0;23;1;Candeias;Vitória da Conquista;0;0;0;0;5
Curso Técnico em Administração;0;0;26;0;Espírito Santo-Urbis VI;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;0;22;0;Cruzeiro;Vitória da Conquista;0;0;0;0;5
Curso Técnico em Administração;0;0;23;1;Campinhos;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;0;22;1;Zona Rural;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;2;31;1;Miro Cairo-Residencial Jacaranda;Vitória da Conquista;0;1;0;0;7
Curso Técnico em Administração;3;0;27;0;Centro;Vitória da Conquista;0;1;0;0;7
Curso Técnico em Administração;0;2;30;1;Primavera;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;13;21;0;São Pedro;Vitória da Conquista;0;0;1;0;2
Curso Técnico em Administração;1;3;31;1;Felícia;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;26;1;Cruzeiro;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;7;26;1;Jurema;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;4;27;1;Alto Maron;Vitória da Conquista;0;1;0;0;7
Curso Técnico em Administração;0;0;30;1;Centro;Cândido Sales;0;0;0;0;0
Curso Técnico em Administração;0;0;22;0;Universidade;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;0;30;1;Espírito Santo;Vitória da Conquista;0;0;0;0;1
Curso Técnico em Administração;0;0;29;1;Centro;Cândido Sales;0;0;0;0;0
Curso Técnico em Administração;0;0;24;1;Candeias;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;0;36;0;Cak;Planalto ;0;0;0;0;0
Curso Técnico em Administração;3;11;24;1;Centro;Anagé;0;1;0;0;8
Curso Técnico em Administração;0;0;26;1;Senhorinha Cairo-Zabelê;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;3;13;2;0;Jacaranda;Vitória da Conquista;0;1;0;0;8
Curso Técnico em Administração;0;0;22;0;Bateias;Vitória da Conquista;1;0;0;0;6
Curso Técnico em Administração;3;13;37;1;Distrito Industrial;Vitória da Conquista;0;1;0;0;8
